Navn,Year,Month,Day,Felt,Trafikkmengde,Sykkel
Hansine Hansens veg,2022,1,8,2,584,0
Hansine Hansens veg,2022,1,8,Totalt,1160,0
Hansine Hansens veg,2022,1,9,1,462,0
Hansine Hansens veg,2022,1,9,2,467,0
Hansine Hansens veg,2022,1,9,Totalt,929,0
Hansine Hansens veg,2022,1,10,1,1845,0
Hansine Hansens veg,2022,1,10,2,2069,0
Hansine Hansens veg,2022,1,10,Totalt,3914,0
Hansine Hansens veg,2022,1,11,1,1941,0
Hansine Hansens veg,2022,1,11,2,2183,0
Hansine Hansens veg,2022,1,11,Totalt,4124,0
Hansine Hansens veg,2022,1,12,1,1957,0
Hansine Hansens veg,2022,1,12,2,2117,0
Hansine Hansens veg,2022,1,12,Totalt,4074,0
Hansine Hansens veg,2022,1,13,1,1896,0
Hansine Hansens veg,2022,1,13,2,2130,0
Hansine Hansens veg,2022,1,13,Totalt,4026,0
Hansine Hansens veg,2022,1,14,1,1826,0
Hansine Hansens veg,2022,1,14,2,2049,0
Hansine Hansens veg,2022,1,14,Totalt,3875,0
Hansine Hansens veg,2022,1,15,1,524,0
Hansine Hansens veg,2022,1,15,2,539,0
Hansine Hansens veg,2022,1,15,Totalt,1063,0
Hansine Hansens veg,2022,1,16,1,507,0
Hansine Hansens veg,2022,1,16,2,489,0
Hansine Hansens veg,2022,1,16,Totalt,996,0
Hansine Hansens veg,2022,1,17,1,2014,0
Hansine Hansens veg,2022,1,17,2,2219,0
Hansine Hansens veg,2022,1,17,Totalt,4233,0
Hansine Hansens veg,2022,1,18,1,1967,0
Hansine Hansens veg,2022,1,18,2,2113,0
Hansine Hansens veg,2022,1,18,Totalt,4080,0
Hansine Hansens veg,2022,1,19,1,1969,0
Hansine Hansens veg,2022,1,19,2,2171,0
Hansine Hansens veg,2022,1,19,Totalt,4140,0
Hansine Hansens veg,2022,1,20,1,1925,0
Hansine Hansens veg,2022,1,20,2,2065,0
Hansine Hansens veg,2022,1,20,Totalt,3990,0
Hansine Hansens veg,2022,1,21,1,1835,0
Hansine Hansens veg,2022,1,21,2,2057,0
Hansine Hansens veg,2022,1,21,Totalt,3892,0
Hansine Hansens veg,2022,1,22,1,570,0
Hansine Hansens veg,2022,1,22,2,564,0
Hansine Hansens veg,2022,1,22,Totalt,1134,0
Hansine Hansens veg,2022,1,23,1,607,0
Hansine Hansens veg,2022,1,23,2,564,0
Hansine Hansens veg,2022,1,23,Totalt,1171,0
Hansine Hansens veg,2022,1,24,1,2026,0
Hansine Hansens veg,2022,1,24,2,2230,0
Hansine Hansens veg,2022,1,24,Totalt,4256,0
Hansine Hansens veg,2022,1,25,1,2095,0
Hansine Hansens veg,2022,1,25,2,2276,0
Hansine Hansens veg,2022,1,25,Totalt,4371,0
Hansine Hansens veg,2022,1,26,1,1942,0
Hansine Hansens veg,2022,1,26,2,2071,0
Hansine Hansens veg,2022,1,26,Totalt,4013,0
Hansine Hansens veg,2022,1,27,1,1943,0
Hansine Hansens veg,2022,1,27,2,2121,0
Hansine Hansens veg,2022,1,27,Totalt,4064,0
Hansine Hansens veg,2022,1,28,1,1763,0
Hansine Hansens veg,2022,1,28,2,1958,0
Hansine Hansens veg,2022,1,28,Totalt,3721,0
Hansine Hansens veg,2022,1,29,1,588,0
Hansine Hansens veg,2022,1,29,2,593,0
Hansine Hansens veg,2022,1,29,Totalt,1181,0
Hansine Hansens veg,2022,1,30,1,549,0
Hansine Hansens veg,2022,1,30,2,524,0
Hansine Hansens veg,2022,1,30,Totalt,1073,0
Hansine Hansens veg,2022,1,31,1,2030,0
Hansine Hansens veg,2022,1,31,2,2206,0
Hansine Hansens veg,2022,1,31,Totalt,4236,0
Hansine Hansens veg,2022,2,1,1,2031,0
Hansine Hansens veg,2022,2,1,2,2244,0
Hansine Hansens veg,2022,2,1,Totalt,4275,0
Hansine Hansens veg,2022,2,2,1,2088,0
Hansine Hansens veg,2022,2,2,2,2329,0
Hansine Hansens veg,2022,2,2,Totalt,4417,0
Hansine Hansens veg,2022,2,3,1,2081,0
Hansine Hansens veg,2022,2,3,2,2314,0
Hansine Hansens veg,2022,2,3,Totalt,4395,0
Hansine Hansens veg,2022,2,4,1,1965,0
Hansine Hansens veg,2022,2,4,2,2126,0
Hansine Hansens veg,2022,2,4,Totalt,4091,0
Hansine Hansens veg,2022,2,5,1,566,0
Hansine Hansens veg,2022,2,5,2,609,0
Hansine Hansens veg,2022,2,5,Totalt,1175,0
Hansine Hansens veg,2022,2,6,1,533,0
Hansine Hansens veg,2022,2,6,2,537,0
Hansine Hansens veg,2022,2,6,Totalt,1070,0
Hansine Hansens veg,2022,2,7,1,2200,0
Hansine Hansens veg,2022,2,7,2,2411,0
Hansine Hansens veg,2022,2,7,Totalt,4611,0
Hansine Hansens veg,2022,2,8,1,2189,0
Hansine Hansens veg,2022,2,8,2,2358,0
Hansine Hansens veg,2022,2,8,Totalt,4547,0
Hansine Hansens veg,2022,2,9,1,2169,0
Hansine Hansens veg,2022,2,9,2,2364,0
Hansine Hansens veg,2022,2,9,Totalt,4533,0
Hansine Hansens veg,2022,2,10,1,2188,0
Hansine Hansens veg,2022,2,10,2,2391,0
Hansine Hansens veg,2022,2,10,Totalt,4579,0
Hansine Hansens veg,2022,2,11,1,1971,0
Hansine Hansens veg,2022,2,11,2,2192,0
Hansine Hansens veg,2022,2,11,Totalt,4163,0
Hansine Hansens veg,2022,2,12,1,582,0
Hansine Hansens veg,2022,2,12,2,618,0
Hansine Hansens veg,2022,2,12,Totalt,1200,0
Hansine Hansens veg,2022,2,13,1,523,0
Hansine Hansens veg,2022,2,13,2,546,0
Hansine Hansens veg,2022,2,13,Totalt,1069,0
Hansine Hansens veg,2022,2,14,1,2188,0
Hansine Hansens veg,2022,2,14,2,2394,0
Hansine Hansens veg,2022,2,14,Totalt,4582,0
Hansine Hansens veg,2022,2,15,1,2316,0
Hansine Hansens veg,2022,2,15,2,2531,0
Hansine Hansens veg,2022,2,15,Totalt,4847,0
Hansine Hansens veg,2022,2,16,1,2244,0
Hansine Hansens veg,2022,2,16,2,2438,0
Hansine Hansens veg,2022,2,16,Totalt,4682,0
Hansine Hansens veg,2022,2,17,1,2152,0
Hansine Hansens veg,2022,2,17,2,2392,0
Hansine Hansens veg,2022,2,17,Totalt,4544,0
Hansine Hansens veg,2022,2,18,1,2027,0
Hansine Hansens veg,2022,2,18,2,2165,0
Hansine Hansens veg,2022,2,18,Totalt,4192,0
Hansine Hansens veg,2022,2,19,1,595,0
